timestamp	years	player	emotion	social	friends	irl	gained
2019/06/19 10:52:00 PM GMT+2	3	2	4	3	3	4	In a world where friends are scattered across the globe and don’t have much reason to get together, TTRPGs present a space to hang out and be creative together even when bedridden. 
	friendship
2019/06/19 10:52:30 PM GMT+2	2	3	2	5	5	4	It's a creative outlet that let me appreciate art, writing and creativity in general. It has gained me a lot of friends and social skills in general.
	creativity|friendship|social
2019/06/19 10:52:44 PM GMT+2	5	2	3	4	3	3	
	
2019/06/19 10:53:17 PM GMT+2	3	4	3	5	5	5	writing and improv
	writing|improvisation
2019/06/19 10:53:52 PM GMT+2	3	4	4	4	4	4	I've gained a group of online friends I can chat with for a few hours every week despite being separated from them in real life.
	friendship
2019/06/19 10:54:02 PM GMT+2	4	4	3	5	4	5	How to work to achieve a common goal, how to settle disputes.
	management|social
2019/06/19 10:54:08 PM GMT+2	3 	3	4	5	3	4	That You can certainly try. Brings out a different part of me that likes to be challenged.
	problem solving
2019/06/19 10:55:08 PM GMT+2	2	5	4	3	3	3	
	
2019/06/19 10:56:06 PM GMT+2	25	3	5	5	5	5	Working with groups, conflict resolution, creativity, critical analysis (reading & interrupting rules, build, combos), storytelling, public speaking, leadership when GMing, better writing skills, & oddly enough how to be a better parent.
	management|conflict|empathy|creativity|storytelling|writing
2019/06/19 10:56:28 PM GMT+2	2	2	3	4	4	4	I’ve learned to appreciate what it offers to a group of people, the expansive creativity is what people want to express and rpg/ttrpg let us do that.
	creativity
2019/06/19 10:57:37 PM GMT+2	1.5	2	4	5	4	5	
	
2019/06/19 10:58:04 PM GMT+2	22	4	3	5	2	4	Storytelling is a vehicle for emotional processing, which is awesome. But prepping for RPGs also incorporates a whole lot of planning, time (and people) management, and math.
	storytelling|emotion|management|planning|math
2019/06/19 10:58:22 PM GMT+2	1	3	3	4	4	4	Confidence. 
	confidence
2019/06/19 10:58:53 PM GMT+2	3	2	3	4	4	5	
	
2019/06/19 10:59:21 PM GMT+2	13	3	3	4	3	4	
	
2019/06/19 11:00:12 PM GMT+2	8	3	4	4	3	3	Collaboration, non linear problem solving, communication, emotional openness, willingness to accept outside viewpoints and perspectives. 
	collaboration|problem solving|social|emotion|empathy
2019/06/19 11:00:59 PM GMT+2	8	4	2	5	4	5	How to keep mass information organized, storytelling, event organization, creative writing, problem solving, 
	organisation|storytelling|management|creativity|problem solving
2019/06/19 11:01:56 PM GMT+2	6	4	4	4	3	3	Comfortable speaking in front of a group
	social
2019/06/19 11:02:05 PM GMT+2	12	4	4	4	3	4	Empathy. If I want to play a character well, I tend to look more at the people around me. What starts off as inspiration to build an imaginary character blossoms into better understanding of how people feel and think.
	empathy
2019/06/19 11:02:49 PM GMT+2	1	1	2	2	2	3	
	
2019/06/19 11:02:53 PM GMT+2	2	2	3	4	3	3	Good times and laughs. Love the adventure of it
	fun
2019/06/19 11:03:00 PM GMT+2	10	2	4	5	5	5	Confidence in talking with people I've just met, asking leading questions to get to know someone better, patience for other people's decision making processes, and a slight increase in being willing to take risks (only small, that shit is scary).
	confidence|social|empathy
2019/06/19 11:03:01 PM GMT+2	3	3	4	3	3	4	
	
2019/06/19 11:03:45 PM GMT+2	1	3	5	5	5	5	
	
2019/06/19 11:05:13 PM GMT+2	5	3	2	5	4	4	How to better schedule events, both socially and professionally.How to be more transparent in communication
	management|social
2019/06/19 11:05:18 PM GMT+2	2	4	4	5	4	5	
	
2019/06/19 11:06:15 PM GMT+2	1	5	2	4	2	4	Exciting Hobby To Do With Unfit Friends
	fun
2019/06/19 11:07:01 PM GMT+2	1	3	4	5	3	5	RPGs are an incredible creative outlet. For someone like me, who had severe depression, finding the hobby was like discovering a whole new world. I wholeheartedly believe that D&D played an important part in my recovery and self-improvement.
	creativity
2019/06/19 11:07:11 PM GMT+2	25	3	4	4	4	3	Truly amazing stories coupled with weekly social gatherings. A loving wife, a massive collection of minis we really don't have room for (but I'm going to keep growing anyways), and of course a fascination with world building and storytelling. D&D is a creative, chaotic outlet in an otherwise ordered and predictable life pattern.
	friendship|storytelling|creativity
2019/06/19 11:07:11 PM GMT+2	12	3	1	4	3	5	
	
2019/06/19 11:07:12 PM GMT+2	3	3	4	4	5	5	
	
2019/06/19 11:08:42 PM GMT+2	1	2	4	4	3	5	Finding focus and inspiration to write
	creativity
2019/06/19 11:08:43 PM GMT+2	1	1	4	5	4	4	
	
2019/06/19 11:10:23 PM GMT+2	5	4	4	4	3	3	Tempering expectations
	
2019/06/19 11:10:29 PM GMT+2	1	4	2	4	2	4	to have fun even if things are considered weird or embarrassing. do what makes you happy, not what makes others happy. 
	fun|expression
2019/06/19 11:11:08 PM GMT+2	2	4	2	4	2	2	
	
2019/06/19 11:11:08 PM GMT+2	1	2	4	4	3	3	I now know how to be a cat person.
	fun
2019/06/19 11:11:33 PM GMT+2	4	4	4	4	4	4	From DM-ing you learn very quickly to account for other people’s feelings and resolve conflicts when that occurs. I have also massively boosted improvisational skills and making good, educated decisions under pressure.
	empathy|management|improvisation
2019/06/19 11:11:44 PM GMT+2	3	3	2	2	2	2	
	
2019/06/19 11:11:59 PM GMT+2	0.8	3	4	5	3	4	Experience of tactics in a fantasy environment 
	strategy
2019/06/19 11:12:30 PM GMT+2	1	3	2	2	4	4	Creativity
	creativity
2019/06/19 11:13:47 PM GMT+2	0	5	4	4	3	4	Confidence
	confidence
2019/06/19 11:13:55 PM GMT+2	3	3	4	5	3	4	Teamwork, Thinking things though, multitasking
	social|multitasking
2019/06/19 11:14:17 PM GMT+2	5	4	1	2	2	5	
	
2019/06/19 11:14:20 PM GMT+2	33	3	3	3	3	4	Working in groups, analysing hypothetical situations for responses, challenging my own ideas of the world, following systems/rules to a desired outcome, storytelling, logic based on differing perspectives and information, a reason to hang out with old friends, 
	storytelling|friendship|logic
2019/06/19 11:14:26 PM GMT+2	3	3	2	4	3	1	Confidence around strangers and in larger groups, organisational skills
	managment|confidence
2019/06/19 11:14:31 PM GMT+2	2	3	3	4	3	4	Lots of problem solving and team building! More creative thinking in general as well
	problem solving|social|creativity
2019/06/19 11:14:59 PM GMT+2	2	3	4	4	3	4	
	
2019/06/19 11:15:11 PM GMT+2	10	4	3	4	5	4	To not take things so seriously, a playful jab is just that.
	confidence
2019/06/19 11:15:37 PM GMT+2	6	1	2	3	3	4	Consistent positive social interaction
	friendship
2019/06/19 11:16:00 PM GMT+2	3.5	2	3	4	3	4	
	
2019/06/19 11:16:12 PM GMT+2	6	3	4	3	3	4	storytelling skills. Creating interesting worlds and characters, what does work and doesn't. 
	storytelling
2019/06/19 11:17:49 PM GMT+2	1	3	5	5	5	4	How to see things from the perspective of another and how the reality others face shape them despite there lack of control over such situations.
	empathy
2019/06/19 11:18:33 PM GMT+2	1	3	4	4	4	5	That you never have the answer to everything, life or your players will do the unexpected
	improvisation
2019/06/19 11:19:54 PM GMT+2	3	3	4	4	2	1	Anticipation makes everything sweeter.
	fun
2019/06/19 11:19:58 PM GMT+2	1	1	3	4	4	5	A vivid imagination, an opportunity to communicate with people on just on a social let's grab a beer level but deeper. I am friends with people I might have not met otherwise and we share unique in-game memories and a strong connection!
	social|friendship
2019/06/19 11:20:53 PM GMT+2	1.5	1	4	4	3	4	How to describe emotions and feelings; getting to know myself better through my characters.
	emotion|expression
2019/06/19 11:22:25 PM GMT+2	5	3	3	4	5	5	
	
2019/06/19 11:24:41 PM GMT+2	3	2	4	4	5	4	Ways to write characters better and make them more believable and more problem solving skills
	problem solving|writing
2019/06/19 11:25:56 PM GMT+2	2	3	2	4	2	4	More chance to use my creative skills.
	creativit
2019/06/19 11:26:16 PM GMT+2	3	3	3	4	3	4	Game design
	creativity
2019/06/19 11:26:35 PM GMT+2	1	3	3	3	3	3	
	
2019/06/19 11:26:37 PM GMT+2	1	2	3	4	4	3	
	
2019/06/19 11:26:54 PM GMT+2	1	5	3	4	4	3	Human interaction is not dead or dying, you simply have to find a worth while may of spending it that fosters that interaction.
	social|friednship
2019/06/19 11:27:29 PM GMT+2	1	3	3	4	3	4	
	
2019/06/19 11:27:30 PM GMT+2	3	4	3	4	4	4	
	
2019/06/19 11:28:19 PM GMT+2	4	4	3	4	4	4	How to be more comfortable dealing with situations you dont expect. Improv is king
	improvisation
2019/06/19 11:28:21 PM GMT+2	1	2	3	3	3	3	
	
2019/06/19 11:30:33 PM GMT+2	5	4	4	3	2	4	Not to quash peoples ideas. Even a simple thought can mean a lot someone. Take serious consideration and don't be afraid to tell people You can certainly try in and out of game.
	empathy
2019/06/19 11:31:09 PM GMT+2	1	3	2	5	4	3	Finding a new outlet to find new friends which has been a struggle as an adult. 
	friendship
2019/06/19 11:32:34 PM GMT+2	3.5 	2	3	4	3	4	A renewed imagination.
	creativity
2019/06/19 11:32:55 PM GMT+2	1.5	3	4	5	5	5	I have gained a community of supportive friends.
	friendship
2019/06/19 11:34:28 PM GMT+2	4	3	3	2	4	4	
	
2019/06/19 11:35:00 PM GMT+2	26	2	5	4	4	5	 Mathematics, vocabulary, cooperation and teambuilding, cartography,  Reading other peoples emotions and expressing my own, speaking in different voices 
	math|english|cooperation|empathy
2019/06/19 11:35:04 PM GMT+2	1	2	3	4	3	4	
	
2019/06/19 11:35:32 PM GMT+2	1.5	2	3	3	4	5	Don't prioritize the happiness of others over your own; take care of yourself before you take care of others 
	expression
2019/06/19 11:37:30 PM GMT+2	4	5	4	4	3	4	A creative outlet
	creativity
2019/06/19 11:37:55 PM GMT+2	2	3	4	5	5	5	How to meet people, and worldbuilding/storytelling/acting techniques
	social|storytelling
2019/06/19 11:39:13 PM GMT+2	2	3	2	3	3	4	Empathy
	empathy
2019/06/19 11:39:30 PM GMT+2	5	2	4	5	4	4	
	
2019/06/19 11:39:43 PM GMT+2	2	4	1	4	4	5	
	
2019/06/19 11:40:57 PM GMT+2	3	3	4	5	5	5	A better understanding of math and probabilities, as well as several very important friendships
	math|friendship
2019/06/19 11:40:59 PM GMT+2	3	4	4	4	3	3	how to adapt and inverate, how to improvise on the spot
	improvise
2019/06/19 11:42:00 PM GMT+2	35	1	3	4	2	4	
	
2019/06/19 11:42:05 PM GMT+2	10 	4	3	4	3	4	
	
2019/06/19 11:42:25 PM GMT+2	6	3	3	4	4	4	Conflict resolution
	social
2019/06/19 11:43:50 PM GMT+2	2	2	4	5	5	5	I have learned that sometimes (most of the time) people will have varying opinions, and different solutions to problems that you may not agree with, but if you take the time to talk with them and work it out, you can come to a compromise that everyone will be happy with. 
	empathy
2019/06/19 11:43:55 PM GMT+2	2	4	3	4	3	3	My players are idiots
	social
2019/06/19 11:44:06 PM GMT+2	25	2	4	5	4	5	Having a weekly meeting with friends has helped my mental health significantly
	friendship|emotion
2019/06/19 11:45:40 PM GMT+2	3	2	3	4	4	4	
	
2019/06/19 11:45:46 PM GMT+2	3	2	4	4	5	4	
	
2019/06/19 11:47:42 PM GMT+2	2	5	3	4	3	4	Being more confident to do what I love. And if I' making a fool of myself by doing it. That is ok, cause I enjoy it.^^
	confidence|
2019/06/19 11:48:15 PM GMT+2	8	2	3	4	3	4	How to cooperate as a team while taking on a viewpoint other than my own has been incredibly helpful. Even just the teamwork alone. 
	empathy|friendship
2019/06/19 11:48:25 PM GMT+2	2	2	3	4	3	4	
	
2019/06/19 11:48:51 PM GMT+2	7	4	1	1	1	1	My players are awful at Roleplay, so while i'd love to do those things, they can't hold a conversation in character.
	
2019/06/19 11:48:53 PM GMT+2	4	2	1	4	4	3	None -- just fun with friends
	fun
2019/06/19 11:48:58 PM GMT+2	3	3	4	4	5	3	A closer bond with my friends, as well as slightly better social awareness.
	friendship|social
2019/06/19 11:49:08 PM GMT+2	4	3	4	5	3	4	Almost anything you can think of
	
2019/06/19 11:50:48 PM GMT+2	6	5	3	4	3	5	That there are different kinds of creativity a person can possess.
	creativity
2019/06/19 11:51:00 PM GMT+2	1	1	5	5	5	5	I’m autistic. It’s helped me be more sociable, and it’s great to have a game that leans straight into my strengths. 
	social|expression
2019/06/19 11:51:03 PM GMT+2	1	2	1	1	1	1	New ways to have fun with friends
	fun|friendship
2019/06/19 11:51:53 PM GMT+2	30	3	3	5	4	5	Tactic, negotiation, a bit of English (I am french) , friend for life
	english|friendship
2019/06/19 11:52:28 PM GMT+2	6	3	3	4	3	4	I feel like I've learned to manage interactions with people better. The character/story moments of playing haven't necessarily contributed to personal growth, but the more logistical side of things has definitely helped. Like learning to adjust schedules, coordinate groups of people and the like.
	management|social
2019/06/19 11:52:33 PM GMT+2	3	2	4	3	4	3	I find it quite interesting to see the difference in how people act in real life vs. how they play a character in a tabletop rpg. I suppose the thing I've learned from my relatively short time playing these games is that people really enjoy letting loose and being free from expectations when they create a character for a made up world that can do whatever they want.
	social
2019/06/19 11:52:42 PM GMT+2	2	4	3	3	3	3	Patience, mostly. 
	social
2019/06/19 11:52:47 PM GMT+2	13	3	5	5	5	5	Never split the party. Having others to lean on can be good
	social|friendship
2019/06/19 11:52:57 PM GMT+2	5	3	3	3	4	4	Friendship
	friendship
2019/06/19 11:53:19 PM GMT+2	6	2	4	4	4	4	
	
2019/06/19 11:54:07 PM GMT+2	20	2	4	4	3	4	
	
2019/06/19 11:54:28 PM GMT+2	2	3	3	3	3	3	
	
2019/06/19 11:54:45 PM GMT+2	9	2	3	4	4	4	
	
2019/06/19 11:54:51 PM GMT+2	3	5	3	4	4	4	Guiding user experience. Understanding the differences between what I see vs. what the party sees has been helpful in both my teaching and other customer service roles I have held. 
	management
2019/06/20 12:00:29 AM GMT+2	1	3	4	3	3	4	
	
2019/06/20 12:00:47 AM GMT+2	5	2	4	4	3	5	
	
2019/06/20 12:00:50 AM GMT+2	20	4	3	4	3	4	
	
2019/06/20 12:01:16 AM GMT+2	3	1	3	4	3	4	Developed more confidence speaking publicly
	confidence|social
2019/06/20 12:01:34 AM GMT+2	2	2	3	4	3	3	
	
2019/06/20 12:03:20 AM GMT+2	35	3	5	4	4	5	Pain heals. Chicks dig scars. Glory… lasts forever
	fun
2019/06/20 12:04:34 AM GMT+2	1	1	3	3	4	4	I strengthened my bonds with some friends, made new ones, distressed from life, met my first gf (and ex-gf) through the gf of one of my new friends.TLDR strengthened and made new friendships.
	friendship|social
2019/06/20 12:04:42 AM GMT+2	5	4	2	4	3	4	
	
2019/06/20 12:05:04 AM GMT+2	1	1	3	3	3	4	A new sense of imagination and creativity that I thought was lost with childhood 
	creativity
2019/06/20 12:05:12 AM GMT+2	3	3	3	4	4	5	I've learned that not everything is meant be be won, and most things you must work for
	life experience
2019/06/20 12:07:36 AM GMT+2	 6	3	3	3	3	3	
	
2019/06/20 12:07:42 AM GMT+2	2	3	4	5	4	5	As a player, I learned not everyone works well together. As a DM, I learned a whole lot about why the world is the way it is and how it came to be that way, both geologically and people-logically.
	social|world
2019/06/20 12:08:27 AM GMT+2	14	4	4	5	4	5	I became a more well rounded, social individual. Without roleplay, I would have receded into asocial obscurity. 
	social
2019/06/20 12:11:22 AM GMT+2	2	1	3	4	4	4	Social skills, public speaking, entertainment
	public speaking|social
2019/06/20 12:11:22 AM GMT+2	4	3	4	5	5	5	Confidence in my creativity, ability to connect with more diverse groups of people, lots of work on my social anxiety
	confidence|creativity|social
2019/06/20 12:11:36 AM GMT+2	4	3	4	4	4	5	Being a DM, I have learned how to better improvise when things go unexpectedly and adapt to situations. This has proved helpful in my personal life as well.
	improvisation
2019/06/20 12:12:47 AM GMT+2	4	4	4	4	4	4	
	
2019/06/20 12:13:21 AM GMT+2	5	5	3	4	3	4	improvisation
	improvisation
2019/06/20 12:14:09 AM GMT+2	15	3	1	2	2	4	
	
2019/06/20 12:15:07 AM GMT+2	20	4	2	2	2	2	Storytelling, Improvisational Collaboration 
	storytelling|improvisation|collaboration
2019/06/20 12:15:36 AM GMT+2	1	3	3	4	4	4	To announce your reaction before the dm can ask for initiative
	d&d
2019/06/20 12:16:27 AM GMT+2	7	3	4	4	2	3	Planning and group scheduling! Keeping communication lines open with the purpose of making sure everyone has the information they need to act, in time to decide what to do, to minimize wasted time/effort and maximize fun.
	management|social|fun
2019/06/20 12:17:19 AM GMT+2	1	3	4	5	4	5	Many good friends, better social skills, i think it helped my problem solvings skills and mademe better at looking for a creative solution to a problem.
	friendship|social|problem solving|creativity|problem solving
2019/06/20 12:18:59 AM GMT+2	2	3	3	4	4	5	Never split the party (things are better if you keep your friends around you) 
	friendship
2019/06/20 12:19:13 AM GMT+2	11	4	2	4	4	5	Game design theory
	creativity
2019/06/20 12:19:30 AM GMT+2	2	3	2	5	4	5	
	
2019/06/20 12:19:30 AM GMT+2	3	2	2	3	3	3	New friends who only talk to me once a Week/ Month.
	friendship
2019/06/20 12:22:01 AM GMT+2	22	3	3	4	4	4	
	
2019/06/20 12:22:33 AM GMT+2	6	4	4	5	5	4	
	
2019/06/20 12:23:07 AM GMT+2	2	4	2	4	3	4	
	
2019/06/20 12:23:47 AM GMT+2	10	4	1	4	2	2	Organizational skills. Communicative skills. Writing skills (story structure) and improv. 
	management|social|writing|improvisation
2019/06/20 12:24:03 AM GMT+2	34	4	2	5	5	4	
	
2019/06/20 12:26:08 AM GMT+2	7	3	3	5	4	5	Conflict management between myself and others, and between others.
	management|social
2019/06/20 12:26:19 AM GMT+2	2 	5	1	3	2	1	
	
2019/06/20 12:27:36 AM GMT+2	1	2	2	2	4	3	That you shouldn’t try and seduce a dragon
	fun
2019/06/20 12:28:31 AM GMT+2	1	4	3	4	3	3	
	
2019/06/20 12:29:00 AM GMT+2	23	3	4	5	4	4	The value in self-expression 
	expression
2019/06/20 12:29:15 AM GMT+2	3	3	2	3	3	3	
	
2019/06/20 12:29:22 AM GMT+2	2	1	1	3	2	2	I don't think much about my D&D games bleeds over to my normal life. It's a hobby that I enjoy and like the rest of my hobbies playing is fun which leads to general happiness. Beyond that though my games do not affect my life outside the game at all. 
	fun
2019/06/20 12:29:30 AM GMT+2	3	4	4	4	3	4	Creativity
	creativity
2019/06/20 12:29:58 AM GMT+2	4	4	3	3	3	3	
	
2019/06/20 12:31:21 AM GMT+2	1	3	3	4	3	3	
	
2019/06/20 12:34:02 AM GMT+2	1	1	2	4	3	4	
	
2019/06/20 12:34:39 AM GMT+2	1	5	4	4	4	4	
	
2019/06/20 12:34:44 AM GMT+2	2	3	4	5	4	4	I got an escape from reality and depression that helped me overcome it by being able to be whoever I wanted.
	expression
2019/06/20 12:35:31 AM GMT+2	13	3	3	4	3	5	Better math skills, critical thinking, and creativity
	math|creativity
2019/06/20 12:35:34 AM GMT+2	3	3	2	4	4	4	
	
2019/06/20 12:35:44 AM GMT+2	5	5	1	4	3	4	It’s a fun hobby where I get to be creative. 
	creativity|fun
2019/06/20 12:36:07 AM GMT+2	2	3	1	2	2	2	
	
2019/06/20 12:38:07 AM GMT+2	15	2	1	3	4	3	
	
2019/06/20 12:38:31 AM GMT+2	3	4	5	5	5	5	Public speaking, assertive communication, fun and meaning and creative expression
	social|fun|creativity
2019/06/20 12:41:03 AM GMT+2	5	3	2	4	3	4	Better improvisational skills
	improvisation
2019/06/20 12:41:32 AM GMT+2	3	1	3	3	2	3	I don’t think I gained or learned social skills or the like simply because I developed those through other activities I engaged in before I started playing DnD (ie sports) but I’d say the incredible experiences and great times I gained by playing with my friends are invaluable memories that I will cherish for the rest of my life.
	fun
2019/06/20 12:43:28 AM GMT+2	1	4	3	4	5	4	It's helped me make new friends, and maybe might've improved my social skills. This is a small thing, but I also feel it's helped my vocabulary.
	social|friendship|english
2019/06/20 12:44:06 AM GMT+2	1	4	3	3	4	4	Creative writing, voice acting, game design
	creativity
2019/06/20 12:45:53 AM GMT+2	10	2	4	5	5	3	
	
2019/06/20 12:48:42 AM GMT+2	1	4	3	3	3	2	Writing
	writing
2019/06/20 12:49:15 AM GMT+2	1	2	2	4	3	4	I got to reconnect with old classmates and enjoy time with shared activities.
	friendship
2019/06/20 12:50:31 AM GMT+2	6	4	5	5	5	5	Improved ability to improvise and adapt to unexpected situations.
	improvisation
2019/06/20 12:50:47 AM GMT+2	1	1	3	3	3	4	
	
2019/06/20 12:51:36 AM GMT+2	10	2	3	5	4	4	
	
2019/06/20 12:51:46 AM GMT+2	2	3	1	1	3	1	
	
2019/06/20 12:52:40 AM GMT+2	2	2	2	4	3	4	
	
2019/06/20 12:53:49 AM GMT+2	2	4	2	4	4	4	An outlet to creativity and writing, which was missing from my life for a few years now.
	creativity
2019/06/20 12:54:17 AM GMT+2	2	3	4	4	3	5	How to improvise
	improvisation
2019/06/20 12:54:31 AM GMT+2	4	4	3	5	2	4	Creative writing
	creativity
2019/06/20 12:54:56 AM GMT+2	3	2	2	3	4	4	
	
2019/06/20 12:56:35 AM GMT+2	4 	3	3	4	4	5	
	
2019/06/20 12:58:13 AM GMT+2	1	3	4	5	5	4	
	
2019/06/20 12:58:19 AM GMT+2	2	2	2	5	4	3	
	
2019/06/20 12:58:37 AM GMT+2	3	3	4	5	5	5	Good times with friends and a great way to express my creativity.
	friendship|fun|creativity
2019/06/20 1:01:32 AM GMT+2	1	3	2	4	3	4	
	
2019/06/20 1:03:18 AM GMT+2	2	3	2	4	4	4	
	
2019/06/20 1:03:44 AM GMT+2	1	2	2	4	3	4	Story writing, such as what makes a compelling story, or why is this more interesting than that?
	storytelling
2019/06/20 1:05:31 AM GMT+2	2.5	5	3	4	4	4	Mostly expressing myself through characters
	expression
2019/06/20 1:06:19 AM GMT+2	4	2	3	4	3	4	I met my fiancé through D&D, so there's that! But TTRPGs have helped me get past difficult struggles I had in life, just by being such an in-depth distraction, but as well as something that I did with people and friends that care about me.
	social|friendship
2019/06/20 1:07:15 AM GMT+2	8	1	3	4	5	4	It's good to prepare for the expected outcome, but prepare for the possibilty that nothing goes as planned. Be ready for anything. Also, nearly anything can be a weapon.
	improvisation
2019/06/20 1:09:11 AM GMT+2	12	2	1	1	1	3	a fun way to meet with friends and spend time with them, a chance to be part of a story rather than an observer to it. It has confirmed me in my belief hat broad-strokes plans are better than detailed plans because you will end up having to improvise anyway when (not if) something goes wrong.
	fun|friendship|improvisation
2019/06/20 1:09:59 AM GMT+2	10	3	4	5	4	5	
	
2019/06/20 1:13:52 AM GMT+2	16	4	4	5	5	5	Creativity, passion, a love for the written word. 
	creativity|fun|writing
2019/06/20 1:14:12 AM GMT+2	3	2	1	4	2	3	A constructive hobby that allows me to flex the creative side of my brain.
	creativity
2019/06/20 1:20:06 AM GMT+2	3	2	3	3	3	2	Spending time with existing friends, learning more about them. Started playing as an adult
	friendship
2019/06/20 1:22:45 AM GMT+2	4	3	1	2	2	3	
	
2019/06/20 1:23:09 AM GMT+2	1	2	5	5	5	5	
	
2019/06/20 1:23:50 AM GMT+2	2	3	2	5	4	4	
	
2019/06/20 1:23:55 AM GMT+2	18	5	4	5	3	5	
	
2019/06/20 1:24:06 AM GMT+2	2	5	3	4	4	5	a sense of fitting in, creating a fun enviroment for freinds that we can all enjoy
	friendship|social
2019/06/20 1:24:06 AM GMT+2	1	1	3	4	4	4	That it's ok to be me, especially when I'm pretending to be someone else. 
	expression
2019/06/20 1:25:53 AM GMT+2	2	2	4	5	4	5	Conflict resolution, scheduling, how to communicate what I need, and a consistent reason for my friend group to maintain itself.
	management|friendship
2019/06/20 1:29:53 AM GMT+2	11	2	3	4	4	4	
	
2019/06/20 1:30:16 AM GMT+2	3	4	4	4	4	5	Improv skills first and foremost.
	improvisation
2019/06/20 1:33:10 AM GMT+2	3	4	2	4	4	5	
	
2019/06/20 1:34:32 AM GMT+2	2	3	4	4	4	4	
	
2019/06/20 1:35:58 AM GMT+2	5	3	1	4	3	4	
	
2019/06/20 1:39:00 AM GMT+2	1	1	4	5	4	5	Various problem-solving and teamworking skills.
	problem solving|management
2019/06/20 1:39:16 AM GMT+2	3	1	3	4	3	3	Practice dealing with disagreements and personality clashes.
	management
2019/06/20 1:41:39 AM GMT+2	3	2	5	5	5	4	A lot to be honest. D&D has taught me to make friends, boosted my self confidence and has overall changed my life for the better. 
	friendship|confidence
2019/06/20 1:41:44 AM GMT+2	20	1	3	4	4	4	
	
2019/06/20 1:45:28 AM GMT+2	7	2	4	5	5	5	Social skills, a friend group, a hobby
	social|friendship|fun
2019/06/20 1:47:24 AM GMT+2	1	1	3	3	3	3	
	
2019/06/20 1:50:57 AM GMT+2	0.4	5	3	4	3	3	Inhibitions are lame if they get in the way of fun
	fun
2019/06/20 1:51:07 AM GMT+2	1	3	1	3	2	2	
	
2019/06/20 1:53:40 AM GMT+2	1	2	4	4	4	4	How to get into character
	expression
2019/06/20 1:55:34 AM GMT+2	3	3	4	4	3	4	More patience and much more honest communication. 
	social
2019/06/20 1:57:12 AM GMT+2	1	4	4	5	4	4	Improv
	improvisation
2019/06/20 2:00:02 AM GMT+2	2	3	4	4	3	4	An appreciation for the theory of game design.
	creativity
2019/06/20 2:00:22 AM GMT+2	10	1	2	3	4	4	
	
2019/06/20 2:01:35 AM GMT+2	5	4	4	4	2	3	I learned that a close friend wasn't really a friend at all, he was just using me because I was convenient, we had the same sense of humor and worked together. The act of requiring him to engage in any work outside of face-to-face fun, like putting together a character sheet, caused him to show his true colors. Without D&D I probably would have invested significantly more time and money into a relationship that was never going to pay off.
	social
2019/06/20 2:01:38 AM GMT+2	1.5	3	3	4	3	4	Creative thinking
	creativity
2019/06/20 2:04:49 AM GMT+2	20	5	3	4	2	4	
	
2019/06/20 2:07:26 AM GMT+2	6	2	4	4	3	4	
	
2019/06/20 2:09:02 AM GMT+2	3	4	2	4	4	4	It has allowed me to stay connected to friends that I may have fallen out of contact otherwise.
	friendship
2019/06/20 2:10:42 AM GMT+2	11	4	1	5	3	5	Public speaking and improv. Confidence
	improvisation|confidence
2019/06/20 2:12:00 AM GMT+2	6	4	4	5	4	5	
	
2019/06/20 2:12:04 AM GMT+2	3	3	4	4	3	4	Dealing with different Personalities
	expression
2019/06/20 2:17:36 AM GMT+2	3	3	4	2	1	5	Creative outlet
	creativity
2019/06/20 2:17:58 AM GMT+2	3	2	2	2	2	3	
	
2019/06/20 2:19:40 AM GMT+2	1	3	2	4	2	4	New way to have fun.
	fun
2019/06/20 2:19:43 AM GMT+2	3	4	3	4	4	4	
	
2019/06/20 2:20:33 AM GMT+2	3	4	1	1	1	1	An excuse to hang out with some friends
	fun|friendship
2019/06/20 2:24:42 AM GMT+2	7	2	5	5	4	5	The ability to view events from multiple moral viewpoints
	empathy
2019/06/20 2:26:00 AM GMT+2	5	4	3	5	4	5	Planning, organization, confidence, public speaking
	management|confidence|social
2019/06/20 2:26:02 AM GMT+2	3	3	2	2	2	3	Good stories and communal experiences
	fun
2019/06/20 2:26:47 AM GMT+2	8	3	3	5	4	4	Theory of mind thinking skills
	social
2019/06/20 2:27:20 AM GMT+2	7	4	3	4	3	4	Better understanding of emotions, both my own and those of others. 
	emotion|empathy
2019/06/20 2:28:42 AM GMT+2	9	5	5	5	5	5	Social skills, ability to work with a group, and close friendships
	social|managment|friendship
2019/06/20 2:31:10 AM GMT+2	4	2	3	5	4	5	How to just relax and get involved in what's happening right now
	fun
2019/06/20 2:32:50 AM GMT+2	2.5	2	3	3	3	4	friends!
	friendship
2019/06/20 2:33:53 AM GMT+2	3	3	2	3	2	4	Fun times with friends and family.
	friendship
2019/06/20 2:35:12 AM GMT+2	32	3	4	4	4	4	Math proficiency is extremely high due to TTRPG's. 
	math
2019/06/20 2:38:39 AM GMT+2	3	3	3	4	4	4	
	
2019/06/20 2:38:44 AM GMT+2	5	4	3	3	3	3	DMing
	
2019/06/20 2:40:24 AM GMT+2	15	4	3	4	4	5	Less what I've gained, and more what it has done. When I play I can work through problems I've had or relieve stress that I've had by what and who I'm playing. 
	expression|emotion
2019/06/20 2:41:40 AM GMT+2	15	4	2	3	3	4	The ability to present all options or approaches to a problem in a neutral manner and with minimal bias.
	social
